Date,Description,Withdrawals,Deposits,Balance,Category
4/10/18,ACH DEBIT       XXXXX7606 DOMINION ENERGY  ELEC BILL,$55.73 ,,$94.59 ,
4/9/18,POS PURCHASE          POS38690044  4373187 WAL-MART SUPER           RICHMOND     VA,$10.10 ,,$150.32 ,
4/9/18,POS PURCHASE          POS24386901  4373184 WAL-MART #3869           RICHMOND     VA,$14.58 ,,$160.42 ,
4/9/18,POS PURCHASE          POS99999999  4373185 OFFICE MAX/OFF           RICHMOND     VA,$126.35 ,,$175.00 ,
4/9/18,DEBIT CARD PURCHASE   XXXXX9460 MICROSOFT   STORE        XXXXX7676 WA,$19.80 ,,$301.35 ,
4/9/18,ONLINE TRANSFER TO        XXXXX5146 ,$594.41 ,,$321.15 ,
4/9/18,DEBIT CARD PURCHASE   XXXXX9460 PANERA BREAD #601639      RICHMOND    VA,$15.30 ,,$915.56 ,
4/9/18,DEBIT CARD PURCHASE   XXXXX9460 MICHAELS STORES 1083      HENRICO     VA,$54.67 ,,$930.86 ,
4/9/18,POS PURCHASE          POS09126386  4373186 PAPER SOURCE C           RICHMOND     VA,$24.21 ,,$985.53 ,
4/9/18,DEBIT CARD PURCHASE   XXXXX9460 SQ *BEV'S HOMEMADE        RICHMOND    VA,$5.06 ,,"$1,009.74 ",
4/9/18,DEBIT CARD PURCHASE   XXXXX9460 CKE*CARYTOWN ENTERTA 2    RICHMOND    VA,$41.50 ,,"$1,014.80 ",
4/9/18,DEBIT CARD PURCHASE   XXXXX1923 ADOBE SYSTEMS INC       XXXXX6687 CA,$9.99 ,,"$1,056.30 ",
4/9/18,DEBIT CARD PURCHASE   XXXXX1923 SQ *CHRISTOPHER FLOWER    Richmond    VA,$23.00 ,,"$1,066.29 ",
4/9/18,DEBIT CARD PURCHASE   XXXXX9460 COLONIAL SHOOTING ACAD    RICHMOND    VA,$4.20 ,,"$1,089.29 ",
4/9/18,DEBIT CARD PURCHASE   XXXXX1923 COLONIAL SHOOTING ACAD    RICHMOND    VA,$10.68 ,,"$1,093.49 ",
4/9/18,DEBIT CARD PURCHASE   XXXXX9460 FEDEX XXXXX3631        MEMPHIS     TN,$35.10 ,,"$1,104.17 ",
4/9/18,DEBIT CARD PURCHASE   XXXXX9460 AMAZON MKTPLACE PMTS      AMZN.COM/BI WA,$9.98 ,,"$1,139.27 ",
4/9/18,ONLINE TRANSFER FROM      XXXXX5146 ,,$146.15 ,"$1,149.25 ",
4/6/18,CHECK                  177           096733472 ,$180.00 ,,"$1,003.10 ",
4/6/18,DEBIT CARD PURCHASE   XXXXX1923 NY DELI                   RICHMOND    VA,$12.69 ,,"$1,183.10 ",
4/6/18,ACH CREDIT      XXXXX1056AEA PAPER SOURCE     DIRECT DEP,,$695.19 ,"$1,195.79 ",
4/5/18,POS PURCHASE          POS47797501  1251429 FARM FRESH               RICHMOND     VA,$51.29 ,,$500.60 ,
4/5/18,DEBIT CARD PURCHASE   XXXXX1923 SUBWAY        03470572    RICHMOND    VA,$15.56 ,,$551.89 ,
4/5/18,DEBIT CARD PURCHASE   XXXXX9460 AMAZON MKTPLACE PMTS      AMZN.COM/BI WA,$12.98 ,,$567.45 ,
4/4/18,ONLINE TRANSFER FROM      XXXXX5146 ,,$132.00 ,$580.43 ,
4/2/18,ONLINE TRANSFER TO        XXXXX5146 ,$84.23 ,,$448.43 ,
4/2/18,ACH WEB-RECUR   ML5X64 AMERICAN CIGAR   WEB PMTS,"$1,604.14 ",,$532.66 ,
4/2/18,POS PURCHASE          POS08992564  4233538 PETSMART # 101           RICHMAND     VA,$11.18 ,,"$2,136.80 ",
4/2/18,DEBIT CARD PURCHASE   XXXXX1923 Etsy Inc Seller Fees      XXXXX7955 NY,$0.40 ,,"$2,147.98 ",
4/2/18,POS PURCHASE          POS47797501  4439837 FARM FRESH               RICHMOND     VA,$71.44 ,,"$2,148.38 ",
4/2/18,POS PURCHASE          POS47797501  4233535 FARM FRESH               RICHMOND     VA,$4.71 ,,"$2,219.82 ",
4/2/18,DEBIT CARD PURCHASE   XXXXX9460 FIVE GUYS WILLOW L        RICHMOND    VA,$11.13 ,,"$2,224.53 ",
4/2/18,DEBIT CARD PURCHASE   XXXXX1923 GINGER RESTAURANT LLC     RICHMOND    VA,$26.49 ,,"$2,235.66 ",
4/2/18,DEBIT CARD PURCHASE   XXXXX9460 SQ *MAIN STREET BARBER    Richmond    VA,$31.20 ,,"$2,262.15 ",
4/2/18,ONLINE TRANSFER TO        XXXXX5146 ,$720.45 ,,"$2,293.35 ",
4/2/18,POS PURCHASE          POS08992565  4233539 PETSMART # 101           RICHMAND     VA,$88.89 ,,"$3,013.80 ",
4/2/18,DEBIT CARD PURCHASE   XXXXX9460 GELATI CELESTI            RICHMOND    VA,$14.25 ,,"$3,102.69 ",
4/2/18,POS PURCHASE          POS26890401  4233537 WAWA STORE 863           RICHMOND     VA,$18.44 ,,"$3,116.94 ",
4/2/18,DEBIT CARD PURCHASE   XXXXX9460 AMAZON MKTPLACE PMTS      AMZN.COM/BI WA,$10.98 ,,"$3,135.38 ",
4/2/18,DEBIT CARD PURCHASE   XXXXX9460 SQ *SHOCKOE ESPRESS       RICHMOND    VA,$7.12 ,,"$3,146.36 ",
4/2/18,DEBIT CARD PURCHASE   XXXXX9460 AMAZON MKTPLACE PMTS      AMZN.COM/BI WA,$139.99 ,,"$3,153.48 ",
4/2/18,ONLINE TRANSFER FROM      XXXXX5146 ,,$180.00 ,"$3,293.47 ",
4/2/18,DEBIT CARD CREDIT     1026344002 VIS 0401 PETSMART # 1011           RICHMAND    VA,,$30.00 ,"$3,113.47 ",
4/2/18,POS RETURN            POS99999999  4233536 DSW SHOPS AT W           RICHMOND     VA,,$84.23 ,"$3,083.47 ",
3/30/18,DEBIT CARD PURCHASE   XXXXX1923 SWEET TEAS                RICHMOND    VA,$25.08 ,,"$2,999.24 ",
3/30/18,ACH CREDIT      XXXXX9268 CARMAX AUTO SUPE PAYROLL,,"$2,976.90 ","$3,024.32 ",
3/29/18,ONLINE TRANSFER TO        XXXXX5146 ,$52.80 ,,$47.42 ,
3/28/18,POS PURCHASE          POSLK301626  1228497 THE FRESH MARK           RICHMOND     VA,$14.99 ,,$100.22 ,
3/28/18,POS PURCHASE          POS42620001  1228496 DOLLAR TREE              RICHMOND     VA,$4.21 ,,$115.21 ,
3/27/18,POS PURCHASE          POS47797501  1194603 FARM FRESH               RICHMOND     VA,$53.40 ,,$119.42 ,
3/27/18,ONLINE TRANSFER TO        XXXXX5146 ,$52.18 ,,$172.82 ,
3/26/18,POS PURCHASE          POS26029901  4464045 FOOD LION #029           MIDLOTHIAN   VA,$9.20 ,,$225.00 ,
3/26/18,POS PURCHASE          POS42471001  4464044 DOLLAR TREE              MIDLOTHIAN   VA,$6.32 ,,$234.20 ,
3/26/18,POS PURCHASE          POS47797501  4257417 FARM FRESH               RICHMOND     VA,$13.67 ,,$240.52 ,
3/26/18,POS PURCHASE          POS47797501  4257418 FARM FRESH               RICHMOND     VA,$5.81 ,,$254.19 ,
3/26/18,ONLINE TRANSFER TO        XXXXX5146 ,$616.74 ,,$260.00 ,
3/26/18,DEBIT CARD PURCHASE   XXXXX9460 SQ *SHOCKOE ESPRESS       RICHMOND    VA,$12.01 ,,$876.74 ,
3/26/18,DEBIT CARD PURCHASE   XXXXX9460 JIMMY JOHNS - 1741        RICHMOND    VA,$18.03 ,,$888.75 ,
3/23/18,CHECK                  176           096652776 ,$90.00 ,,$906.78 ,
3/23/18,POS PURCHASE          POS47797501  1454900 FARM FRESH               RICHMOND     VA,$42.56 ,,$996.78 ,
3/23/18,DEBIT CARD PURCHASE   XXXXX9460 PARKING CITY OF RICHMO    RICHMOND    VA,$1.25 ,,"$1,039.34 ",
3/23/18,DEBIT CARD PURCHASE   XXXXX9460 CHICK-FIL-A #00356        RICHMOND    VA,$3.84 ,,"$1,040.59 ",
3/23/18,DEBIT CARD PURCHASE   XXXXX9460 CHICK-FIL-A #00356        RICHMOND    VA,$9.20 ,,"$1,044.43 ",
3/23/18,ONLINE TRANSFER FROM      XXXXX5146 ,,$60.00 ,"$1,053.63 ",
3/23/18,ACH CREDIT      XXXXX8761AEA PAPER SOURCE     DIRECT DEP,,$699.70 ,$993.63 ,
3/22/18,ACH WEBSINGLE  XXXXX7642 VENMO            PAYMENT,$110.00 ,,$293.93 ,
3/22/18,ACH WEBSINGLE  XXXXX2081 VENMO            PAYMENT,$193.00 ,,$403.93 ,
3/22/18,RECURRING DEBIT CARD  XXXXX0081 Microsoft *Xbox           msbill.info WA,$59.99 ,,$596.93 ,
3/22/18,POS PURCHASE          POS99999999  1047358 DSW SHOPS AT W           RICHMOND     VA,$84.23 ,,$656.92 ,
